epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,37.6696,0.27187,0.86903,0.99927,0.43435,0.00997696,0.00332565,0.00997696,0.00332565,0.00997696,0.00332565,0.00997696,0.00332565
2,73.2263,0.26701,0.81548,0.99663,0.59108,0.0197297,0.00657658,0.0197297,0.00657658,0.0197297,0.00657658,0.0197297,0.00657658
3,108.822,0.34164,0.82447,0.99725,0.56631,0.029235,0.00974501,0.029235,0.00974501,0.029235,0.00974501,0.029235,0.00974501
4,144.555,0.39661,0.85532,0.99916,0.48134,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,180.133,0.37416,0.85543,0.99899,0.5035,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,216.27,0.35089,0.74469,0.98972,0.79319,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,251.383,0.34034,0.86291,0.99477,0.43389,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,284.643,0.32873,0.86414,0.99528,0.47406,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,318.142,0.32221,0.85324,0.99657,0.47477,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,351.413,0.31367,0.8565,0.99826,0.46503,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,384.935,0.30267,0.83554,0.98556,0.53719,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,416.569,0.29586,0.85852,0.99916,0.46944,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,449.74,0.29333,0.86066,0.99803,0.45665,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,482.83,0.29007,0.86723,0.99893,0.4702,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,518.174,0.28143,0.86055,0.99697,0.47367,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,552.978,0.27605,0.8588,0.99725,0.46426,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,588.153,0.26994,0.86802,0.99809,0.46308,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,622.534,0.26618,0.86487,0.99944,0.45076,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,657.625,0.26212,0.86538,0.99916,0.4536,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,693.134,0.25788,0.87072,0.99899,0.44371,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,728.313,0.25254,0.86892,0.99848,0.48494,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,762.995,0.24931,0.86954,0.99775,0.47411,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,800.001,0.24659,0.87055,0.99916,0.44996,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,835.62,0.24205,0.87021,0.99882,0.49082,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,871.66,0.24107,0.87302,0.99904,0.47854,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,907.946,0.23372,0.87111,0.99904,0.49002,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,943.791,0.2297,0.8715,0.99916,0.4892,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,978.937,0.22778,0.8715,0.99904,0.50968,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,1014.54,0.22594,0.87111,0.99893,0.49988,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,1050.29,0.21661,0.8719,0.99904,0.50281,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,1086.14,0.21703,0.8724,0.99916,0.50788,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,1121.69,0.21798,0.87184,0.99899,0.50685,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,1156.71,0.21105,0.87268,0.99904,0.50473,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
