epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2000.57,1.71948,1.79383,0.00656,0.49606,0.43292,0.4316,0.23162,1.68034,1.77916,0.00673,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2062.67,1.69008,1.78602,0.00653,0.49287,0.42473,0.4244,0.22965,1.66387,1.80927,0.0066,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2124.75,1.69077,1.75975,0.0065,0.50688,0.42039,0.43101,0.22964,1.65739,1.79621,0.00653,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2186.83,1.69744,1.75099,0.00653,0.49466,0.44309,0.43844,0.23378,1.6697,1.78011,0.00663,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2248.93,1.68863,1.73121,0.00652,0.4998,0.43094,0.43346,0.23346,1.65111,1.79258,0.00656,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2311.1,1.67857,1.73097,0.00635,0.49368,0.42797,0.42795,0.22896,1.65182,1.80056,0.00653,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2373.54,1.68328,1.71714,0.00647,0.50506,0.4371,0.43819,0.23626,1.6576,1.77131,0.00652,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2436.47,1.68143,1.71886,0.00633,0.50591,0.42501,0.43362,0.23552,1.64191,1.78982,0.00645,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2498.9,1.68606,1.70416,0.00641,0.50042,0.43325,0.43747,0.23669,1.6407,1.78942,0.00645,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2561.32,1.66387,1.69295,0.0064,0.50376,0.4267,0.43368,0.23396,1.6461,1.78698,0.00646,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2623.52,1.66972,1.67575,0.00634,0.50519,0.43237,0.4382,0.23478,1.6581,1.77728,0.00652,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2685.63,1.66555,1.69371,0.0063,0.51045,0.43248,0.43892,0.2374,1.64629,1.77156,0.00647,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2747.75,1.65086,1.65745,0.00629,0.50716,0.43441,0.43863,0.2364,1.63932,1.79046,0.00645,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2809.92,1.66215,1.66483,0.0063,0.50635,0.43232,0.43689,0.23685,1.63671,1.77706,0.00643,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
