epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,122.625,1.0648,0.75386,0.99102,0.70752,0.00997191,0.00332397,0.00997191,0.00332397,0.00997191,0.00332397,0.00997191,0.00332397
2,233.757,0.66324,0.80433,0.99321,0.56552,0.0197248,0.00657492,0.0197248,0.00657492,0.0197248,0.00657492,0.0197248,0.00657492
3,338.556,0.63876,0.80119,0.99298,0.59399,0.0292301,0.00974337,0.0292301,0.00974337,0.0292301,0.00974337,0.0292301,0.00974337
4,444.427,0.6516,0.76447,0.99023,0.73196,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,550.692,0.61161,0.77615,0.99882,0.68677,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,657.949,0.55899,0.80192,0.98922,0.68979,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,765.322,0.53669,0.83999,0.99725,0.58195,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,872.799,0.49823,0.78777,0.99618,0.62098,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,981.323,0.47376,0.81135,0.99652,0.62596,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,1091.82,0.42986,0.7803,0.98922,0.76349,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,1202.6,0.41814,0.77576,0.99354,0.7016,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,1312.67,0.40091,0.80933,0.98911,0.61666,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,1432.69,0.39212,0.81747,0.99074,0.66302,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,1539.64,0.3734,0.82213,0.99046,0.65735,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,1649.92,0.35792,0.8013,0.99613,0.69145,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,1759.65,0.35018,0.68188,0.99203,0.95972,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,1877.53,0.32877,0.79277,0.99388,0.69298,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,1984.92,0.32567,0.78996,0.99281,0.69524,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,2091.82,0.30951,0.7985,0.99674,0.73564,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,2198.67,0.3103,0.82269,0.99147,0.68707,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,2311.55,0.27352,0.79906,0.99203,0.74918,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,2425.25,0.2801,0.77138,0.99152,0.81373,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,2534.75,0.28146,0.7483,0.99119,0.84056,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,2641,0.26506,0.78648,0.99085,0.78612,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,2747.44,0.25863,0.78715,0.9936,0.76479,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,2853.87,0.25389,0.7972,0.99556,0.8177,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,2960.66,0.24223,0.7707,0.99596,0.8233,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
