epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,68.126,0.20336,0.87482,0.99865,0.44972,0.00998847,0.00332949,0.00998847,0.00332949,0.00998847,0.00332949,0.00998847,0.00332949
2,126.825,0.20559,0.87206,0.9964,0.47199,0.0197906,0.00659686,0.0197906,0.00659686,0.0197906,0.00659686,0.0197906,0.00659686
3,176.248,0.24434,0.8397,0.99843,0.52369,0.0293947,0.00979823,0.0293947,0.00979823,0.0293947,0.00979823,0.0293947,0.00979823
4,225.831,0.30628,0.84021,0.99607,0.5441,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,275.25,0.31034,0.84684,0.99837,0.49249,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,324.812,0.31196,0.85268,0.99382,0.53497,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,374.697,0.30084,0.86454,0.9991,0.45153,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,424.642,0.29867,0.86605,0.99713,0.44791,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,473.524,0.29293,0.85088,0.99466,0.48999,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,523.041,0.28964,0.85852,0.99904,0.47699,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,571.387,0.28359,0.86352,0.99837,0.48082,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,620.425,0.27684,0.86836,0.99775,0.4899,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,669.853,0.279,0.86673,0.99736,0.4607,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,718.876,0.27497,0.86274,0.99916,0.49404,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,768.796,0.26632,0.85639,0.99798,0.52258,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,818.498,0.26454,0.86527,0.99786,0.49882,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,868.692,0.26254,0.86656,0.99809,0.47739,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,918.408,0.2573,0.86982,0.9991,0.48386,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,967.796,0.26329,0.87173,0.99837,0.46808,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1017.33,0.25596,0.86673,0.99781,0.48225,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1066.66,0.25306,0.87465,0.9982,0.47805,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1115.98,0.26105,0.86993,0.99876,0.4835,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1165.35,0.25466,0.871,0.99854,0.48241,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1215.11,0.24915,0.86976,0.99882,0.47853,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1264.84,0.24752,0.87257,0.9986,0.47818,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1314.06,0.24487,0.87319,0.99781,0.48788,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1363.92,0.24373,0.87094,0.99831,0.49839,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1413.41,0.23934,0.87122,0.99837,0.49787,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1463.12,0.23699,0.87184,0.99843,0.50469,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1512.67,0.23012,0.87358,0.99865,0.50885,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1562.48,0.23205,0.87156,0.99876,0.51526,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1611.73,0.23089,0.87178,0.99865,0.51769,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1660.97,0.22503,0.87184,0.99865,0.51889,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1710.34,0.22599,0.87088,0.99871,0.52174,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1759.33,0.22376,0.87128,0.99848,0.5293,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1807.98,0.22034,0.87117,0.99843,0.52866,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1857.17,0.21531,0.871,0.99865,0.53197,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1906.65,0.21124,0.87145,0.99803,0.53941,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1955.79,0.2075,0.87145,0.99809,0.53856,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2005,0.20503,0.87161,0.99792,0.54073,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2054.26,0.20672,0.87156,0.99798,0.54373,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
