epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,184.466,1.4285,1.4162,0.00542,0.50945,0.43622,0.43927,0.23445,1.62905,1.80913,0.0067,0.0099889,0.00332963,0.0099889,0.00332963,0.0099889,0.00332963,0.0099889,0.00332963
2,323.806,1.4465,1.4318,0.0055,0.49936,0.42413,0.42397,0.22171,1.66102,1.84303,0.00689,0.019791,0.006597,0.019791,0.006597,0.019791,0.006597,0.019791,0.006597
3,450.519,1.4829,1.49255,0.00568,0.46472,0.41643,0.39451,0.20614,1.71946,1.9162,0.00723,0.0293951,0.00979837,0.0293951,0.00979837,0.0293951,0.00979837,0.0293951,0.00979837
4,571.954,1.54573,1.61415,0.00604,0.49778,0.41451,0.41609,0.21897,1.67377,1.87818,0.00698,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,692.433,1.55736,1.63543,0.00607,0.4926,0.41709,0.41728,0.21922,1.66579,1.8626,0.00687,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,813.594,1.56186,1.61443,0.00608,0.48435,0.42314,0.42127,0.21986,1.71128,1.85313,0.00717,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,934.572,1.55097,1.61259,0.00606,0.47743,0.41797,0.4097,0.21334,1.69273,1.85837,0.007,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1061.71,1.54505,1.6139,0.00589,0.48652,0.42775,0.42044,0.22535,1.6568,1.83742,0.00685,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1184.33,1.54788,1.59571,0.00603,0.47849,0.41753,0.40474,0.21524,1.65325,1.89651,0.00688,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1305.05,1.54278,1.57231,0.00595,0.48378,0.40247,0.41183,0.21753,1.6861,1.8612,0.00701,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
