epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,125.364,1.86053,2.91023,0.00754,0.37894,0.30998,0.28402,0.1368,1.80395,2.25566,0.00714,0.00997783,0.00332594,0.00997783,0.00332594,0.00997783,0.00332594,0.00997783,0.00332594
2,224.501,1.80853,2.29866,0.00731,0.44746,0.35845,0.33816,0.16395,1.87573,2.13893,0.00765,0.019846,0.00661532,0.019846,0.00661532,0.019846,0.00661532,0.019846,0.00661532
3,308.159,1.89948,2.36671,0.00779,0.38644,0.14231,0.14891,0.06977,2.08157,3.12895,0.0093,0.0295821,0.00986071,0.0295821,0.00986071,0.0295821,0.00986071,0.0295821,0.00986071
4,391.497,1.96676,2.36951,0.00831,0.42235,0.25617,0.23651,0.11383,1.98733,2.67982,0.00869,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,475.045,1.91015,2.28117,0.00801,0.46627,0.36375,0.35355,0.1707,1.87149,2.09963,0.00781,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,558.321,1.88259,2.21872,0.00788,0.45474,0.38192,0.36523,0.18743,1.82976,2.00183,0.00758,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,642.027,1.85779,2.15105,0.00759,0.45581,0.37203,0.3586,0.18393,1.81494,2.01581,0.00756,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,725.849,1.83302,2.12383,0.00745,0.46357,0.37505,0.36658,0.18696,1.80898,1.99656,0.00743,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,809.747,1.80839,2.07107,0.00734,0.46221,0.39533,0.38074,0.19558,1.79923,1.9178,0.00743,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,893.593,1.79888,2.04533,0.00732,0.45307,0.4089,0.3845,0.19849,1.79179,1.89073,0.00739,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,976.994,1.78437,2.02175,0.0072,0.49004,0.39472,0.39835,0.20999,1.74793,1.902,0.00711,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1060.83,1.77771,1.97342,0.00703,0.48608,0.41352,0.40279,0.21051,1.75954,1.87168,0.00718,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1144.63,1.76859,1.9602,0.00698,0.47731,0.39846,0.39585,0.20607,1.74289,1.93256,0.00711,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1228.48,1.76272,1.94853,0.00697,0.48004,0.40359,0.40403,0.21302,1.71842,1.86963,0.00688,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1312.37,1.75041,1.91823,0.00695,0.47797,0.41286,0.40753,0.21372,1.72292,1.83346,0.00691,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1395.95,1.73425,1.90887,0.0069,0.47968,0.41292,0.414,0.21638,1.70243,1.8507,0.00684,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1479.62,1.72018,1.89142,0.00692,0.4827,0.42209,0.41289,0.21813,1.70023,1.83755,0.00691,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1563.33,1.71969,1.86218,0.00673,0.4852,0.41924,0.41781,0.21895,1.67594,1.83349,0.00676,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1647.23,1.70653,1.84819,0.00672,0.49396,0.4266,0.42862,0.22675,1.69817,1.78951,0.00683,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1730.67,1.71145,1.83178,0.00669,0.48335,0.39802,0.39751,0.2123,1.70748,1.89102,0.00695,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1812.69,1.69729,1.82507,0.00663,0.48733,0.42149,0.42403,0.22439,1.69382,1.79051,0.00679,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1896.25,1.69298,1.81567,0.00654,0.50383,0.42627,0.42951,0.23039,1.67585,1.78486,0.00671,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1979.78,1.69229,1.78661,0.00661,0.4939,0.42822,0.4278,0.22994,1.69363,1.76637,0.00676,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,2063.16,1.68072,1.77744,0.0066,0.5062,0.42548,0.43334,0.23273,1.68264,1.76399,0.0067,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,2146.67,1.67179,1.763,0.00654,0.49562,0.42737,0.42515,0.22768,1.67147,1.80152,0.0067,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,2231.64,1.67273,1.75334,0.00647,0.49148,0.43248,0.43462,0.23173,1.67825,1.75491,0.00665,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,2315.71,1.66219,1.73816,0.00644,0.50685,0.42737,0.43962,0.23527,1.66814,1.75068,0.00668,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,2399.9,1.66251,1.72932,0.00645,0.49073,0.43363,0.43513,0.23465,1.65876,1.75128,0.00661,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,2483.54,1.65212,1.70187,0.00636,0.49463,0.43824,0.43705,0.23289,1.66382,1.75079,0.00658,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,2567.64,1.65769,1.70027,0.00641,0.48604,0.43759,0.43076,0.23456,1.64338,1.75584,0.00648,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,2651.85,1.64051,1.68275,0.00632,0.49403,0.43023,0.43464,0.23377,1.65672,1.7582,0.00661,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,2736.18,1.64207,1.69227,0.00629,0.48752,0.44259,0.43743,0.23807,1.63502,1.74847,0.00645,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2820.1,1.62956,1.67533,0.00626,0.49671,0.43506,0.43849,0.23437,1.6507,1.75162,0.00656,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2903.73,1.62773,1.65281,0.00615,0.50798,0.438,0.44031,0.23559,1.65874,1.75967,0.00658,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2987.84,1.62607,1.65242,0.00619,0.49317,0.43501,0.43504,0.23406,1.64812,1.77469,0.00654,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,3071.57,1.61392,1.63008,0.00618,0.50268,0.42809,0.43486,0.23512,1.6518,1.77562,0.00657,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,3155.46,1.61244,1.61873,0.00611,0.50361,0.4321,0.44017,0.23774,1.64725,1.75395,0.00656,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,3239.34,1.62378,1.6092,0.0062,0.49838,0.43688,0.44199,0.23751,1.64995,1.75426,0.00655,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,3322.76,1.60837,1.60686,0.00608,0.48806,0.43737,0.43551,0.23491,1.64868,1.76406,0.00651,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,3406.61,1.61194,1.59284,0.00613,0.49404,0.43127,0.43583,0.23534,1.63532,1.772,0.00645,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,3490.4,1.60999,1.56287,0.00614,0.49604,0.43512,0.43512,0.23516,1.63872,1.76504,0.00646,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,3573.86,1.60177,1.56223,0.00601,0.50711,0.42957,0.43942,0.23532,1.65323,1.75442,0.00654,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,3657.85,1.59401,1.55308,0.00599,0.49637,0.44315,0.44191,0.23824,1.64296,1.75076,0.00649,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,3741.46,1.58681,1.54953,0.00598,0.50929,0.4355,0.44546,0.23938,1.64246,1.75265,0.0065,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,3825.28,1.58331,1.52313,0.00595,0.50605,0.43828,0.44301,0.23797,1.64577,1.76493,0.00652,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,3908.97,1.57563,1.51546,0.00591,0.49822,0.43536,0.44001,0.2368,1.64661,1.7699,0.00652,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3992.45,1.57493,1.53148,0.00594,0.49282,0.43232,0.43704,0.23497,1.64586,1.78551,0.00653,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,4076.25,1.56447,1.48807,0.00595,0.49933,0.43391,0.43827,0.23654,1.64363,1.78677,0.00649,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,4159.88,1.57099,1.47692,0.00585,0.50021,0.43336,0.43813,0.23468,1.65221,1.787,0.00653,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,4243.06,1.56297,1.47299,0.00591,0.50545,0.42746,0.43694,0.23431,1.65243,1.78728,0.00651,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,4326.62,1.56736,1.47956,0.00589,0.50933,0.43426,0.44055,0.23612,1.65193,1.78244,0.00649,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,4410.2,1.55144,1.45328,0.00577,0.50487,0.43111,0.43873,0.23502,1.65458,1.7815,0.0065,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,4493.57,1.5595,1.45035,0.00579,0.50113,0.43331,0.43773,0.23502,1.65746,1.79396,0.00652,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,4576.66,1.55575,1.43547,0.00577,0.50522,0.43149,0.4363,0.23433,1.65355,1.80121,0.0065,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,4660.54,1.55109,1.42287,0.00573,0.50782,0.43069,0.4364,0.23409,1.65383,1.8031,0.00652,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,4744.45,1.53687,1.4137,0.0057,0.49753,0.43693,0.43538,0.23367,1.65591,1.80279,0.00655,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,4828.23,1.53463,1.4095,0.00571,0.49912,0.43353,0.43409,0.23322,1.65215,1.81149,0.00654,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,4911.91,1.52225,1.38752,0.00566,0.49838,0.43314,0.43506,0.23431,1.65283,1.81153,0.00654,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,4997.03,1.53325,1.37709,0.00573,0.48988,0.43717,0.43384,0.23333,1.65447,1.8168,0.00654,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,5080.21,1.52517,1.37044,0.00559,0.49278,0.43688,0.43313,0.2328,1.65657,1.82143,0.00655,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,5163.67,1.52618,1.36602,0.00564,0.48813,0.4369,0.43085,0.23109,1.65813,1.82885,0.00656,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,5247.21,1.5167,1.3545,0.00565,0.48599,0.43787,0.43046,0.23125,1.6599,1.82889,0.00657,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,5330.75,1.52095,1.33657,0.00561,0.48763,0.43666,0.43025,0.23101,1.66237,1.83172,0.00659,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,5414.07,1.51959,1.31318,0.00563,0.48883,0.4356,0.43065,0.2307,1.66395,1.83683,0.00659,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,5497.73,1.50742,1.29626,0.00556,0.48886,0.43629,0.42977,0.23013,1.66335,1.84216,0.00659,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,5581.02,1.49352,1.30528,0.00551,0.4981,0.42696,0.42925,0.22956,1.66336,1.8482,0.00659,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,5664.65,1.49986,1.29622,0.00551,0.49674,0.42819,0.42819,0.22914,1.66355,1.85329,0.0066,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,5748.26,1.49288,1.28287,0.0055,0.49029,0.43199,0.42841,0.22952,1.66263,1.85741,0.0066,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,5832.13,1.48645,1.26991,0.00543,0.49645,0.42869,0.42755,0.22928,1.66447,1.85975,0.00661,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,5915.91,1.48493,1.27574,0.00551,0.4956,0.42893,0.42705,0.22877,1.66456,1.86343,0.00661,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,5999.67,1.4788,1.2581,0.0054,0.49587,0.42819,0.42646,0.22837,1.66441,1.86872,0.00661,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,6082.99,1.46599,1.24334,0.00539,0.501,0.42462,0.42643,0.22803,1.66503,1.8745,0.00661,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,6166.84,1.46735,1.23338,0.00537,0.49906,0.425,0.42601,0.22764,1.66497,1.87875,0.00661,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,6251.03,1.45577,1.2126,0.00531,0.50152,0.4245,0.42628,0.2277,1.66698,1.88087,0.00662,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
