epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,113.311,1.47996,1.38646,0.00542,0.50099,0.42973,0.43002,0.22634,1.68534,1.80753,0.00673,0.00997783,0.00332594,0.00997783,0.00332594,0.00997783,0.00332594,0.00997783,0.00332594
2,211.595,1.4849,1.39847,0.00548,0.50869,0.41814,0.42762,0.22783,1.67825,1.87312,0.00671,0.01978,0.00659335,0.01978,0.00659335,0.01978,0.00659335,0.01978,0.00659335
3,294.83,1.52825,1.46303,0.00566,0.45512,0.41314,0.38481,0.19306,1.73009,1.89459,0.00704,0.0293843,0.00979476,0.0293843,0.00979476,0.0293843,0.00979476,0.0293843,0.00979476
4,378.048,1.59471,1.57652,0.00606,0.47557,0.4174,0.40696,0.20926,1.71628,1.88244,0.00694,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,461.908,1.59991,1.59526,0.00611,0.49141,0.40665,0.41023,0.20874,1.7692,1.87279,0.00727,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,545.489,1.59924,1.58243,0.00615,0.47832,0.41704,0.40779,0.21355,1.71496,1.86746,0.0069,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,629.186,1.60488,1.57873,0.00611,0.49251,0.41198,0.41305,0.21303,1.73766,1.87003,0.007,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,713.24,1.60154,1.59215,0.00608,0.48257,0.41808,0.4164,0.22059,1.69908,1.82699,0.00681,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,796.544,1.59386,1.56035,0.00607,0.48559,0.41836,0.40786,0.21222,1.74483,1.85298,0.00709,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,879.848,1.59358,1.5675,0.00607,0.48626,0.41962,0.41112,0.21161,1.72949,1.90155,0.00695,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,963.252,1.59839,1.54383,0.00605,0.47203,0.42325,0.40859,0.21023,1.71407,1.85635,0.0069,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1046.5,1.59973,1.52893,0.00601,0.48914,0.41676,0.41748,0.21662,1.72484,1.87981,0.00697,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1129.07,1.59011,1.51629,0.00595,0.47865,0.40572,0.3959,0.20608,1.73732,1.88807,0.00712,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1212.6,1.59022,1.5156,0.00597,0.47635,0.41422,0.40697,0.21373,1.71564,1.86837,0.00688,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1295.84,1.58153,1.50737,0.00596,0.49764,0.40969,0.40888,0.2131,1.72859,1.86731,0.00701,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1378.38,1.57543,1.48415,0.00597,0.48335,0.41445,0.40359,0.20838,1.74778,1.87982,0.0071,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1461.85,1.566,1.48487,0.006,0.48848,0.41072,0.40743,0.21238,1.70889,1.885,0.00692,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1545.16,1.56746,1.46158,0.00584,0.4865,0.41643,0.41008,0.21312,1.72605,1.86989,0.00701,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1628.77,1.5621,1.44815,0.00586,0.48904,0.41011,0.40576,0.20972,1.7271,1.90635,0.00701,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1712.44,1.5596,1.4386,0.00581,0.48366,0.41929,0.40787,0.2112,1.74744,1.89374,0.00717,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1795.94,1.55249,1.42188,0.0058,0.48617,0.40541,0.40633,0.2133,1.72427,1.91479,0.007,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1879.42,1.55292,1.43151,0.00575,0.50136,0.41915,0.41297,0.21682,1.71291,1.90842,0.0069,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1962.71,1.55167,1.41041,0.0058,0.4813,0.41924,0.41539,0.21756,1.73408,1.84304,0.00705,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2046.55,1.54911,1.40326,0.00583,0.48025,0.40885,0.40615,0.2103,1.73126,1.87912,0.007,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2130.2,1.53564,1.3767,0.00577,0.48937,0.41907,0.40856,0.20909,1.72008,1.88287,0.00696,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2210.42,1.53947,1.36499,0.00574,0.48993,0.41508,0.41468,0.2163,1.71441,1.89751,0.00691,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2293.04,1.52743,1.36145,0.00569,0.4898,0.41836,0.4117,0.21568,1.72175,1.88336,0.00695,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2376.33,1.52661,1.35114,0.00569,0.49552,0.41913,0.41501,0.21835,1.71692,1.89798,0.00694,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2459.28,1.51624,1.33524,0.0056,0.48592,0.43303,0.41873,0.21996,1.72031,1.88004,0.00696,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2542.33,1.52033,1.3308,0.00566,0.48681,0.42874,0.41377,0.21633,1.72855,1.87765,0.00695,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2625.64,1.50179,1.30529,0.00557,0.49116,0.42096,0.41368,0.21585,1.73517,1.89398,0.00706,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2708.67,1.51217,1.30461,0.00559,0.48804,0.42319,0.40886,0.21495,1.71484,1.91622,0.00692,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
