epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3951.29,1.46955,1.36531,0.00566,0.49279,0.42743,0.41737,0.22134,1.66182,1.90149,0.00682,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4071.66,1.47447,1.355,0.00559,0.48693,0.42143,0.41347,0.21785,1.65892,1.95146,0.00684,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,4192.9,1.47087,1.3361,0.00553,0.49163,0.43259,0.42803,0.22708,1.66143,1.89467,0.00683,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,4313.2,1.45858,1.32805,0.00554,0.48121,0.44111,0.42192,0.22421,1.65234,1.89839,0.00678,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,4436.35,1.46003,1.31435,0.0055,0.48957,0.42572,0.41573,0.22209,1.65978,1.9408,0.00682,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,4557.23,1.45105,1.31766,0.00553,0.49132,0.42561,0.42305,0.2254,1.65921,1.91402,0.00686,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,4679.11,1.45461,1.32058,0.00548,0.50683,0.42649,0.42247,0.22584,1.66087,1.90854,0.00683,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,4800.32,1.45674,1.29822,0.00545,0.50652,0.4285,0.4276,0.22709,1.6662,1.90536,0.00688,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,4922.01,1.44674,1.29479,0.00547,0.49725,0.43111,0.42777,0.2281,1.65661,1.90843,0.00686,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,5042.98,1.43838,1.2776,0.00547,0.49501,0.43007,0.42234,0.22404,1.66125,1.90514,0.00688,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,5163.57,1.44098,1.27554,0.00545,0.49942,0.42012,0.41781,0.22252,1.66337,1.9345,0.00689,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,5285.66,1.43705,1.26321,0.00544,0.49099,0.42369,0.4164,0.22104,1.66423,1.95224,0.00685,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,5406.38,1.43009,1.25376,0.00534,0.48984,0.42048,0.41467,0.22156,1.65535,1.9736,0.00681,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,5525.94,1.43549,1.23942,0.00537,0.49414,0.42446,0.41549,0.22044,1.66389,1.98463,0.00686,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,5649.95,1.42829,1.23258,0.0054,0.50002,0.42559,0.41704,0.22005,1.66942,1.98336,0.00691,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,5769.83,1.42291,1.22875,0.00539,0.50234,0.42726,0.4171,0.21983,1.67245,1.96757,0.00693,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,5890.98,1.4135,1.22455,0.00533,0.49621,0.42272,0.41661,0.22057,1.6644,1.96951,0.00685,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,6014.97,1.41007,1.19973,0.00536,0.49935,0.42506,0.41708,0.22184,1.66181,1.97768,0.00681,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,6135.98,1.40921,1.20141,0.00525,0.4955,0.42363,0.41472,0.22059,1.66278,1.9789,0.00682,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,6257.04,1.40878,1.19627,0.00528,0.49878,0.41847,0.41195,0.21944,1.66364,1.99665,0.00684,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
